"","ST","AREA","CARRIER","PLANNAME","METAL","PREMI27","PREMI50","actively_marketed","AB_CopayInnTier1","AB_CopayInnTier1A","AB_CoinsInnTier1","AB_CoinsInnTier1A","ER_CopayInnTier1","ER_CopayInnTier1A","ER_CoinsInnTier1","ER_CoinsInnTier1A","OM_CopayInnTier1","OM_CopayInnTier1A","OM_CoinsInnTier1","OM_CoinsInnTier1A","SD_CopayInnTier1","SD_CopayInnTier1A","SD_CoinsInnTier1","SD_CoinsInnTier1A","DEHBDedInnTier1IndividualA","MEHBDedInnTier1IndividualA","TEHBDedInnTier1IndividualA","Med_Deductible_Amount"
"61","AL","AL09","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",487.39,830.61,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"62","AL","AL13","BlueCross BlueShield of Alabama","Blue Value Silver","Silver",440.53,750.74,TRUE,0,NA,4,20,3,400,0,NA,3,55,0,NA,3,250,0,NA,0,2600,NA,2600
"63","AL","AL09","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",548.93,935.48,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"64","AL","AL12","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",480.31,818.55,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"65","AL","AL11","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",527.81,899.5,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"66","AL","AL01","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",490.87,836.54,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"67","AL","AL13","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",496.15,845.53,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"68","AL","AL06","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",490.87,836.54,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"69","AL","AL02","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",543.65,926.49,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"70","AL","AL03","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",527.81,899.5,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"71","AL","AL08","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",490.87,836.54,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"72","AL","AL05","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",490.87,836.54,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"73","AL","AL10","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",506.7,863.52,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"74","AL","AL07","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",490.87,836.54,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"75","AL","AL12","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",229.88,391.75,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"76","AL","AL13","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",237.45,404.67,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"77","AL","AL03","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",252.61,430.5,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"78","AL","AL04","BlueCross BlueShield of Alabama","Blue Value Gold","Gold",543.65,926.49,TRUE,0,NA,4,20,3,300,0,NA,3,45,0,NA,3,175,0,NA,0,750,NA,750
"79","AL","AL06","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",234.93,400.36,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"80","AL","AL02","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",260.19,443.41,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"81","AL","AL07","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",234.93,400.36,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"82","AL","AL09","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",262.71,447.72,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"83","AL","AL01","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",234.93,400.36,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"84","AL","AL08","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",234.93,400.36,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"85","AL","AL10","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",242.51,413.28,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"86","AL","AL11","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",252.61,430.5,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"87","AL","AL03","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",310.3,528.82,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"88","AL","AL02","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",319.61,544.68,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"89","AL","AL04","BlueCross BlueShield of Alabama","Blue Protect","Catastrophic",260.19,443.41,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,7900,7900
"90","AL","AL01","BlueCross BlueShield of Alabama","Blue HSA Bronze","Bronze",288.58,491.8,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,2,0,0,NA,NA,NA,6450,6450
"91","AL","AL11","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",506.46,863.1,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"92","AL","AL03","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",506.46,863.1,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"93","AL","AL13","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",476.07,811.32,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"94","AL","AL12","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",460.88,785.42,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"95","AL","AL09","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",526.71,897.63,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"96","AL","AL01","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",471,802.69,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"97","AL","AL10","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",486.2,828.58,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"98","AL","AL04","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",521.65,889,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"99","AL","AL08","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",471,802.69,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"100","AL","AL07","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",471,802.69,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"101","AL","AL06","BlueCross BlueShield of Alabama","Blue Cross Select Gold","Gold",471,802.69,TRUE,0,NA,4,20,3,300,0,NA,3,50,0,NA,3,175,0,NA,0,850,NA,850
"102","AL","AL06","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",400.58,682.66,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"103","AL","AL13","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",404.88,690,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"104","AL","AL11","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",430.73,734.05,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"105","AL","AL12","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",391.96,667.98,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"106","AL","AL01","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",400.58,682.66,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"107","AL","AL03","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",430.73,734.05,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"108","AL","AL04","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",443.65,756.07,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"109","AL","AL08","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",400.58,682.66,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"110","AL","AL05","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",400.58,682.66,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"111","AL","AL09","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",447.96,763.41,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"112","AL","AL10","BlueCross BlueShield of Alabama","Blue Cross Select Silver","Silver",413.5,704.68,TRUE,0,NA,4,20,3,600,0,NA,3,65,0,NA,3,250,0,NA,0,2800,NA,2800
"113","AR","AR01","QualChoice","Silver-6500","Silver",346.81,591.03,TRUE,0,NA,4,50,0,NA,4,50,4,80,0,NA,3,350,0,NA,NA,NA,6500,6500
"114","AR","AR05","QualChoice","Silver-6500","Silver",337.77,575.62,TRUE,0,NA,4,50,0,NA,4,50,4,80,0,NA,3,350,0,NA,NA,NA,6500,6500
"115","AR","AR04","QualChoice","Silver-6500","Silver",323.67,551.61,TRUE,0,NA,4,50,0,NA,4,50,4,80,0,NA,3,350,0,NA,NA,NA,6500,6500
"116","AR","AR03","QualChoice","Silver-Saver-4000","Silver",338.75,577.29,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"117","AR","AR04","QualChoice","Silver-Saver-4000","Silver",323.67,551.61,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"118","AR","AR02","QualChoice","Silver-Saver-4000","Silver",333.88,569,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"119","AR","AR05","QualChoice","Silver-Saver-4000","Silver",337.77,575.62,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"120","AR","AR01","QualChoice","Silver-Saver-4000","Silver",346.81,591.03,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"121","AR","AR03","QualChoice","Silver-6500","Silver",338.75,577.29,TRUE,0,NA,4,50,0,NA,4,50,4,80,0,NA,3,350,0,NA,NA,NA,6500,6500
"122","AR","AR02","QualChoice","Silver-6500","Silver",333.88,569,TRUE,0,NA,4,50,0,NA,4,50,4,80,0,NA,3,350,0,NA,NA,NA,6500,6500
"123","AR","AR03","QualChoice","Gold-2000","Gold",378.69,645.36,TRUE,0,NA,4,30,3,100,0,NA,4,50,0,NA,3,200,0,NA,NA,NA,2000,2000
"124","AR","AR04","QualChoice","Gold-2000","Gold",361.84,616.65,TRUE,0,NA,4,30,3,100,0,NA,4,50,0,NA,3,200,0,NA,NA,NA,2000,2000
"125","AR","AR05","QualChoice","Gold-2000","Gold",377.59,643.49,TRUE,0,NA,4,30,3,100,0,NA,4,50,0,NA,3,200,0,NA,NA,NA,2000,2000
"126","AR","AR01","QualChoice","Gold-2000","Gold",387.7,660.72,TRUE,0,NA,4,30,3,100,0,NA,4,50,0,NA,3,200,0,NA,NA,NA,2000,2000
"127","AR","AR02","QualChoice","Gold-2000","Gold",373.25,636.09,TRUE,0,NA,4,30,3,100,0,NA,4,50,0,NA,3,200,0,NA,NA,NA,2000,2000
"128","AR","AR02","QualChoice","Silver Classic Saver 4000","Silver",333.88,569,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"129","AR","AR05","QualChoice","Silver Classic Saver 4000","Silver",337.77,575.62,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
"130","AR","AR05","QualChoice","Catastrophic","Catastrophic",194.39,331.27,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,4,0,0,NA,NA,NA,7900,7900
"131","AR","AR06","QualChoice","Catastrophic","Catastrophic",210.78,359.21,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,4,0,0,NA,NA,NA,7900,7900
"132","AR","AR01","QualChoice","Catastrophic","Catastrophic",199.59,340.14,TRUE,2,0,0,NA,2,0,0,NA,2,0,0,NA,4,0,0,NA,NA,NA,7900,7900
"133","AR","AR05","QualChoice","Silver Classic 6500","Silver",337.77,575.62,TRUE,0,NA,4,50,0,NA,4,50,3,80,0,NA,3,350,0,NA,0,6500,NA,6500
"134","AR","AR03","QualChoice","Silver Classic Saver 4000","Silver",338.75,577.29,TRUE,0,NA,4,45,0,NA,4,45,0,NA,4,45,0,NA,4,45,NA,NA,4000,4000
